,areaid,areaname,districtid,districtname,areaid0,areaname0,districtid0,districtname0,pharmagroup,clientdunsno,customerlocationname,custcol_8,parentptsdunsno,custcol_6,parentshipperlocationname,productcode,producttypedesc,weekid,weekdesc,monthid,monthdesc,mailclasscode,svcstddaytimecode,mailclasssrvcstddesc,ontimevolume,totalcount,failedcount
4315,7,SOUTHERN,79,TEXAS 3,7,SOUTHERN,1084,SOUTH CAROLINA,OPTUM RX SA_HDP,902746719,OPTUM RX SA_HDP,902746719,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5595,2022-07-16,1295,JUL 2022,FC,3D  ,First Class - 3 Day,6,7,1
4316,2,ATLANTIC,74,VIRGINIA,5,WESTPAC,65,ID-MT-OR,KAISER PERMANENTE - MAS REGION - EVS,902072113,KAISER PERMANENTE - MAS REGION - EVS,902072113,902072110,902072110,KAISER PERMANENTE - MAS REGION - EVS,FC ,First-Class                                       ,5606,2022-10-01,1298,OCT 2022,FC,4D  ,First Class - 4 Day,83,85,2
4317,2,ATLANTIC,1317,NEW JERSEY,2,ATLANTIC,28,CONNECTICUT,OPTUM RX PB_HDP,902746706,OPTUM RX PB_HDP,902746706,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5586,2022-05-14,1293,MAY 2022,PM,2D  ,Priority Mail - 2 Day,46,50,4
4318,10,CENTRAL,72,KS-MO,5,WESTPAC,73,WASHINGTON,OPTUM RX OP_HDP,902746683,OPTUM RX OP_HDP,902746683,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5564,2021-12-11,1288,DEC 2021,PM,2D  ,Priority Mail - 2 Day,6,7,1
4319,10,CENTRAL,14,ILLINOIS 1,10,CENTRAL,40,KY-WV,CVS,999999194,CVS PBM MT PROSPECT,999999194,901000062,901000062,CVS / CAREMARK - WILKES BARRE,PM ,Priority Mail                                     ,5604,2022-09-17,1297,SEP 2022,PM,3D  ,Priority Mail - 3 Day,112,113,1
4320,5,WESTPAC,81,CALIFORNIA 3,5,WESTPAC,81,CALIFORNIA 3,KAISER PERMANENTE - SCAL REGION,902048551,KAISER PERMANENTE - SCAL REGION,902048551,902048548,902048548,KAISER PERMANENTE - SCAL REGION,FC ,First-Class                                       ,5561,2021-11-20,1287,NOV 2021,FC,2D  ,First Class - 2 Day,1,1,0
4321,10,CENTRAL,16,OHIO 2,2,ATLANTIC,9,MA-RI,HUMANA,931508576,HUMANA - OH (PMOD),931508576,901097571,901097571,HUMANA PROCUREMENT,PM ,Priority Mail                                     ,5575,2022-02-26,1291,MAR 2022,PM,2D  ,Priority Mail - 2 Day,28,31,3
4322,10,CENTRAL,72,KS-MO,7,SOUTHERN,1497,FLORIDA 1,CMOP LEAVENWORTH,901581567,CMOP LEAVENWORTH,901581567,901581565,901581565,GENCO,PM ,Priority Mail                                     ,5580,2022-04-02,1292,APR 2022,PM,2D  ,Priority Mail - 2 Day,9,18,9
4323,5,WESTPAC,38,CALIFORNIA 5,5,WESTPAC,38,CALIFORNIA 5,KAISER PERMANENTE - SCAL REGION,902048551,KAISER PERMANENTE - SCAL REGION,902048551,902048548,902048548,KAISER PERMANENTE - SCAL REGION,FC ,First-Class                                       ,5605,2022-09-24,1297,SEP 2022,FC,2D  ,First Class - 2 Day,29972,30925,953
4324,5,WESTPAC,63,CALIFORNIA 6,7,SOUTHERN,33,TEXAS 2,OPTUM RX CA_HDP,902746623,OPTUM RX CA_HDP,902746623,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5558,2021-10-30,1286,OCT 2021,PM,3D  ,Priority Mail - 3 Day,1,1,0
4325,5,WESTPAC,73,WASHINGTON,5,WESTPAC,63,CALIFORNIA 6,HDP,902575882,HDP,902575882,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5588,2022-05-28,1293,MAY 2022,PM,2D  ,Priority Mail - 2 Day,2,2,0
4326,10,CENTRAL,14,ILLINOIS 1,7,SOUTHERN,1507,GEORGIA,CMOP HINES,901581575,CMOP HINES,901581575,901581565,901581565,GENCO,FC ,First-Class                                       ,5569,2022-01-15,1289,JAN 2022,FC,3D  ,First Class - 3 Day,33,105,72
4327,2,ATLANTIC,2294,NORTH CAROLINA,10,CENTRAL,40,KY-WV,OPTUM RX CH_HDP,902746630,OPTUM RX CH_HDP,902746630,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5603,2022-09-10,1297,SEP 2022,PM,3D  ,Priority Mail - 3 Day,8,8,0
4328,5,WESTPAC,1080,NV-UT,5,WESTPAC,1080,NV-UT,OPTUM RX OP_HDP,902746683,OPTUM RX OP_HDP,902746683,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5604,2022-09-17,1297,SEP 2022,PM,1D  ,Priority Mail - 1 Day,2,2,0
4329,2,ATLANTIC,57,DE-PA 2 DISTRICT,7,SOUTHERN,1084,SOUTH CAROLINA,PBM - We-- Care,902372654,PBM - We-- Care,902372654,901000062,901000062,CVS / CAREMARK - WILKES BARRE,PM ,Priority Mail                                     ,5593,2022-07-02,1295,JUL 2022,PM,3D  ,Priority Mail - 3 Day,29,29,0
4330,7,SOUTHERN,1497,FLORIDA 1,7,SOUTHERN,1463,TENNESSEE,HDP,902575883,HDP,902575883,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5585,2022-05-07,1293,MAY 2022,FC,3D  ,First Class - 3 Day,3,3,0
4331,7,SOUTHERN,79,TEXAS 3,5,WESTPAC,22,HAWAII,HDP,902541975,HDP,902541975,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5587,2022-05-21,1293,MAY 2022,PM,3D  ,Priority Mail - 3 Day,3,3,0
4332,2,ATLANTIC,68,ME-NH-VT,2,ATLANTIC,68,ME-NH-VT,OPTUM RX PB_HDP,902746705,OPTUM RX PB_HDP,902746705,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5579,2022-03-26,1292,APR 2022,FC,2D  ,First Class - 2 Day,1,1,0
4333,7,SOUTHERN,1497,FLORIDA 1,5,WESTPAC,22,HAWAII,HDP,902293988,HDP,902293988,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5598,2022-08-06,1296,AUG 2022,PM,3D  ,Priority Mail - 3 Day,0,1,1
4334,7,SOUTHERN,79,TEXAS 3,10,CENTRAL,55,MN-ND,OPTUM RX SA_HDP,902746719,OPTUM RX SA_HDP,902746719,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5605,2022-09-24,1297,SEP 2022,PM,2D  ,Priority Mail - 2 Day,3,4,1
4335,2,ATLANTIC,2294,NORTH CAROLINA,10,CENTRAL,14,ILLINOIS 1,OPTUM RX CH_HDP,902746634,OPTUM RX CH_HDP,902746634,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5595,2022-07-16,1295,JUL 2022,PM,2D  ,Priority Mail - 2 Day,31,32,1
4336,10,CENTRAL,72,KS-MO,5,WESTPAC,89,CO-WY,OPTUM RX OP_HDP,902746684,OPTUM RX OP_HDP,902746684,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5576,2022-03-05,1291,MAR 2022,PM,3D  ,Priority Mail - 3 Day,12,13,1
4337,7,SOUTHERN,79,TEXAS 3,7,SOUTHERN,1497,FLORIDA 1,OPTUM RX SA_HDP,902746718,OPTUM RX SA_HDP,902746718,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5583,2022-04-23,1292,APR 2022,PM,2D  ,Priority Mail - 2 Day,0,1,1
4338,5,WESTPAC,73,WASHINGTON,5,WESTPAC,65,ID-MT-OR,OPTUM RX WV_HDP,902746733,OPTUM RX WV_HDP,902746733,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5563,2021-12-04,1288,DEC 2021,PM,2D  ,Priority Mail - 2 Day,54,65,11
4339,7,SOUTHERN,1463,TENNESSEE,7,SOUTHERN,1463,TENNESSEE,CVS,999999194,CVS PBM MT PROSPECT,999999194,901000062,901000062,CVS / CAREMARK - WILKES BARRE,FC ,First-Class                                       ,5592,2022-06-25,1294,JUN 2022,FC,2D  ,First Class - 2 Day,1,1,0
4340,10,CENTRAL,72,KS-MO,5,WESTPAC,22,HAWAII,HDP,902205134,HDP,902205134,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5579,2022-03-26,1292,APR 2022,FC,4D  ,First Class - 4 Day,0,6,6
4341,7,SOUTHERN,1497,FLORIDA 1,10,CENTRAL,72,KS-MO,HDP,902293988,HDP,902293988,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5582,2022-04-16,1292,APR 2022,PM,3D  ,Priority Mail - 3 Day,23,25,2
4342,7,SOUTHERN,79,TEXAS 3,2,ATLANTIC,1317,NEW JERSEY,OPTUM RX SA_HDP,902746718,OPTUM RX SA_HDP,902746718,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5582,2022-04-16,1292,APR 2022,PM,2D  ,Priority Mail - 2 Day,5,5,0
4343,10,CENTRAL,14,ILLINOIS 1,10,CENTRAL,23,IA-NE-SD,INGENIO,902372651,Ingenio Rx,902372651,901000062,901000062,CVS / CAREMARK - WILKES BARRE,FC ,First-Class                                       ,5571,2022-01-29,1289,JAN 2022,FC,2D  ,First Class - 2 Day,1,1,0
4344,10,CENTRAL,15,ILLINOIS 2,7,SOUTHERN,1497,FLORIDA 1,PBM - We-- Care,902372655,PBM - We-- Care,902372655,901000062,901000062,CVS / CAREMARK - WILKES BARRE,PM ,Priority Mail                                     ,5600,2022-08-20,1296,AUG 2022,PM,3D  ,Priority Mail - 3 Day,1,1,0
4345,7,SOUTHERN,1497,FLORIDA 1,7,SOUTHERN,79,TEXAS 3,OPTUMRX OV_HDP,902746692,OPTUMRX OV_HDP,902746692,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5601,2022-08-27,1296,AUG 2022,FC,3D  ,First Class - 3 Day,14,16,2
4346,5,WESTPAC,73,WASHINGTON,5,WESTPAC,1081,AZ-NM,HDP,902293989,HDP,902293989,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5575,2022-02-26,1290,FEB 2022,FC,3D  ,First Class - 3 Day,287,288,1
4347,10,CENTRAL,72,KS-MO,7,SOUTHERN,1463,TENNESSEE,HDP,902205142,HDP,902205142,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5608,2022-10-15,1298,OCT 2022,PM,3D  ,Priority Mail - 3 Day,1,1,0
4348,5,WESTPAC,73,WASHINGTON,5,WESTPAC,73,WASHINGTON,HDP,902575882,HDP,902575882,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5588,2022-05-28,1294,JUN 2022,FC,2D  ,First Class - 2 Day,1026,1046,20
4349,2,ATLANTIC,1317,NEW JERSEY,2,ATLANTIC,60,PENNSYLVANIA 1,HDP,902293956,HDP,902293956,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5583,2022-04-23,1292,APR 2022,PM,3D  ,Priority Mail - 3 Day,1,1,0
4350,5,WESTPAC,63,CALIFORNIA 6,7,SOUTHERN,33,TEXAS 2,OPTUM RX CA_HDP,902746622,OPTUM RX CA_HDP,902746622,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5572,2022-02-05,1290,FEB 2022,PM,3D  ,Priority Mail - 3 Day,15,16,1
4351,10,CENTRAL,72,KS-MO,2,ATLANTIC,1297,NEW YORK 2,OPTUM RX OP_HDP,902746682,OPTUM RX OP_HDP,902746682,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5588,2022-05-28,1293,MAY 2022,PM,3D  ,Priority Mail - 3 Day,10,10,0
4352,2,ATLANTIC,57,DE-PA 2 DISTRICT,5,WESTPAC,1081,AZ-NM,CVS,901000063,CVS / CAREMARK - WILKES BARRE,901000063,901000062,901000062,CVS / CAREMARK - WILKES BARRE,FC ,First-Class                                       ,5596,2022-07-23,1295,JUL 2022,FC,5D  ,First Class - 5 Day,1,1,0
4353,2,ATLANTIC,2294,NORTH CAROLINA,7,SOUTHERN,1471,AL-MS,OPTUM RX CH_HDP,902746628,OPTUM RX CH_HDP,902746628,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5593,2022-07-02,1295,JUL 2022,FC,2D  ,First Class - 2 Day,140,230,90
4354,10,CENTRAL,16,OHIO 2,5,WESTPAC,73,WASHINGTON,HUMANA,931508576,HUMANA - OH (PMOD),931508576,901097571,901097571,HUMANA PROCUREMENT,PM ,Priority Mail                                     ,5594,2022-07-09,1295,JUL 2022,PM,3D  ,Priority Mail - 3 Day,16,16,0
4355,7,SOUTHERN,1497,FLORIDA 1,7,SOUTHERN,1497,FLORIDA 1,OPTUMRX OV_HDP,902746690,OPTUMRX OV_HDP,902746690,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5594,2022-07-09,1295,JUL 2022,PM,1D  ,Priority Mail - 1 Day,28,28,0
4356,10,CENTRAL,14,ILLINOIS 1,10,CENTRAL,17,OHIO 1,PBM - We-- Care,902372655,PBM - We-- Care,902372655,901000062,901000062,CVS / CAREMARK - WILKES BARRE,PM ,Priority Mail                                     ,5573,2022-02-12,1290,FEB 2022,PM,2D  ,Priority Mail - 2 Day,2,2,0
4357,2,ATLANTIC,1317,NEW JERSEY,10,CENTRAL,72,KS-MO,OPTUM RX PB_HDP,902746705,OPTUM RX PB_HDP,902746705,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5582,2022-04-16,1292,APR 2022,FC,3D  ,First Class - 3 Day,1319,1406,87
4358,10,CENTRAL,72,KS-MO,7,SOUTHERN,79,TEXAS 3,HDP,902205134,HDP,902205134,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5584,2022-04-30,1292,APR 2022,PM,2D  ,Priority Mail - 2 Day,2,2,0
4359,2,ATLANTIC,1317,NEW JERSEY,10,CENTRAL,72,KS-MO,HDP,902293957,HDP,902293957,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5589,2022-06-04,1294,JUN 2022,FC,3D  ,First Class - 3 Day,1134,1394,260
4360,10,CENTRAL,14,ILLINOIS 1,10,CENTRAL,40,KY-WV,CMOP HINES,901581575,CMOP HINES,901581575,901581565,901581565,GENCO,FC ,First-Class                                       ,5599,2022-08-13,1296,AUG 2022,FC,3D  ,First Class - 3 Day,3,3,0
4361,10,CENTRAL,72,KS-MO,5,WESTPAC,62,CALIFORNIA 2,OPTUM RX OP_HDP,902746684,OPTUM RX OP_HDP,902746684,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5604,2022-09-17,1297,SEP 2022,FC,4D  ,First Class - 4 Day,0,1,1
4362,10,CENTRAL,72,KS-MO,10,CENTRAL,16,OHIO 2,OPTUM RX OP_HDP,902746685,OPTUM RX OP_HDP,902746685,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5556,2021-10-16,1286,OCT 2021,FC,3D  ,First Class - 3 Day,31,32,1
4363,10,CENTRAL,72,KS-MO,2,ATLANTIC,60,PENNSYLVANIA 1,OPTUM RX OP_HDP,902746684,OPTUM RX OP_HDP,902746684,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5585,2022-05-07,1293,MAY 2022,PM,2D  ,Priority Mail - 2 Day,6,6,0
4364,2,ATLANTIC,57,DE-PA 2 DISTRICT,2,ATLANTIC,1,NEW YORK 3,CVS,901000063,CVS / CAREMARK - WILKES BARRE,901000063,901000062,901000062,CVS / CAREMARK - WILKES BARRE,PM ,Priority Mail                                     ,5590,2022-06-11,1294,JUN 2022,PM,2D  ,Priority Mail - 2 Day,1185,1260,75
4365,10,CENTRAL,72,KS-MO,7,SOUTHERN,53,AR-OK,OPTUM RX OP_HDP,902746683,OPTUM RX OP_HDP,902746683,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5596,2022-07-23,1295,JUL 2022,PM,2D  ,Priority Mail - 2 Day,9,9,0
4366,5,WESTPAC,63,CALIFORNIA 6,7,SOUTHERN,1320,PUERTO RICO,HDP,902205135,HDP,902205135,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5583,2022-04-23,1292,APR 2022,FC,3D  ,First Class - 3 Day,1,1,0
4367,10,CENTRAL,14,ILLINOIS 1,7,SOUTHERN,1463,TENNESSEE,PBM - We-- Care,902372655,PBM - We-- Care,902372655,901000062,901000062,CVS / CAREMARK - WILKES BARRE,PM ,Priority Mail                                     ,5596,2022-07-23,1295,JUL 2022,PM,3D  ,Priority Mail - 3 Day,8,8,0
4368,10,CENTRAL,72,KS-MO,7,SOUTHERN,1320,PUERTO RICO,CMOP LEAVENWORTH,901581567,CMOP LEAVENWORTH,901581567,901581565,901581565,GENCO,FC ,First-Class                                       ,5601,2022-08-27,1297,SEP 2022,FC,5D  ,First Class - 5 Day,1,1,0
4369,7,SOUTHERN,1497,FLORIDA 1,10,CENTRAL,23,IA-NE-SD,HDP,902293986,HDP,902293986,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5557,2021-10-23,1286,OCT 2021,FC,3D  ,First Class - 3 Day,630,639,9
4370,7,SOUTHERN,1497,FLORIDA 1,10,CENTRAL,23,IA-NE-SD,OPTUMRX OV_HDP,902746689,OPTUMRX OV_HDP,902746689,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5585,2022-05-07,1293,MAY 2022,PM,3D  ,Priority Mail - 3 Day,18,20,2
4371,10,CENTRAL,14,ILLINOIS 1,5,WESTPAC,1080,NV-UT,CVS,999999194,CVS PBM MT PROSPECT,999999194,901000062,901000062,CVS / CAREMARK - WILKES BARRE,PM ,Priority Mail                                     ,5600,2022-08-20,1296,AUG 2022,PM,2D  ,Priority Mail - 2 Day,21,22,1
4372,5,WESTPAC,63,CALIFORNIA 6,10,CENTRAL,16,OHIO 2,OPTUM RX CA_HDP,902746620,OPTUM RX CA_HDP,902746620,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5578,2022-03-19,1291,MAR 2022,FC,3D  ,First Class - 3 Day,41,48,7
4373,5,WESTPAC,73,WASHINGTON,5,WESTPAC,65,ID-MT-OR,OPTUM RX WV_HDP,902746732,OPTUM RX WV_HDP,902746732,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5587,2022-05-21,1293,MAY 2022,FC,3D  ,First Class - 3 Day,653,679,26
4374,2,ATLANTIC,1317,NEW JERSEY,5,WESTPAC,1081,AZ-NM,CVS,999999185,CVS 01701 FAIRFIELD,999999185,901000062,901000062,CVS / CAREMARK - WILKES BARRE,FC ,First-Class                                       ,5582,2022-04-16,1292,APR 2022,FC,3D  ,First Class - 3 Day,1,1,0
4375,10,CENTRAL,72,KS-MO,10,CENTRAL,40,KY-WV,HDP,901267098,HDP,901267098,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5599,2022-08-13,1296,AUG 2022,PM,2D  ,Priority Mail - 2 Day,4,5,1
4376,10,CENTRAL,72,KS-MO,2,ATLANTIC,68,ME-NH-VT,OPTUM RX OP_HDP,902746684,OPTUM RX OP_HDP,902746684,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5583,2022-04-23,1292,APR 2022,PM,3D  ,Priority Mail - 3 Day,1,2,1
4377,10,CENTRAL,16,OHIO 2,7,SOUTHERN,20,TEXAS 1,HUMANA,931508576,HUMANA - OH (PMOD),931508576,901097571,901097571,HUMANA PROCUREMENT,PM ,Priority Mail                                     ,5603,2022-09-10,1297,SEP 2022,PM,3D  ,Priority Mail - 3 Day,138,142,4
4378,7,SOUTHERN,79,TEXAS 3,2,ATLANTIC,28,CONNECTICUT,HDP,902541976,HDP,902541976,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5592,2022-06-25,1294,JUN 2022,PM,2D  ,Priority Mail - 2 Day,4,4,0
4379,10,CENTRAL,16,OHIO 2,7,SOUTHERN,53,AR-OK,HUMANA,931508576,HUMANA - OH (PMOD),931508576,901097571,901097571,HUMANA PROCUREMENT,FC ,First-Class                                       ,5588,2022-05-28,1294,JUN 2022,FC,3D  ,First Class - 3 Day,369,432,63
4380,7,SOUTHERN,79,TEXAS 3,5,WESTPAC,62,CALIFORNIA 2,OPTUM RX SA_HDP,902746719,OPTUM RX SA_HDP,902746719,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5585,2022-05-07,1293,MAY 2022,FC,4D  ,First Class - 4 Day,526,541,15
4381,7,SOUTHERN,79,TEXAS 3,5,WESTPAC,1080,NV-UT,OPTUM RX SA_HDP,902746720,OPTUM RX SA_HDP,902746720,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5559,2021-11-06,1287,NOV 2021,PM,3D  ,Priority Mail - 3 Day,18,18,0
4382,5,WESTPAC,63,CALIFORNIA 6,5,WESTPAC,81,CALIFORNIA 3,HDP,901326076,HDP,901326076,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5586,2022-05-14,1293,MAY 2022,FC,2D  ,First Class - 2 Day,11,15,4
4383,2,ATLANTIC,1317,NEW JERSEY,2,ATLANTIC,9,MA-RI,HDP,902293958,HDP,902293958,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5574,2022-02-19,1290,FEB 2022,FC,2D  ,First Class - 2 Day,0,1,1
4384,10,CENTRAL,15,ILLINOIS 2,10,CENTRAL,15,ILLINOIS 2,CVS,999999194,CVS PBM MT PROSPECT,999999194,901000062,901000062,CVS / CAREMARK - WILKES BARRE,PM ,Priority Mail                                     ,5596,2022-07-23,1295,JUL 2022,PM,1D  ,Priority Mail - 1 Day,1,1,0
4385,10,CENTRAL,72,KS-MO,10,CENTRAL,24,MICHIGAN 1,HDP,902205126,HDP,902205126,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5591,2022-06-18,1294,JUN 2022,PM,2D  ,Priority Mail - 2 Day,21,28,7
4386,10,CENTRAL,72,KS-MO,10,CENTRAL,72,KS-MO,OPTUM RX OP_HDP,902746683,OPTUM RX OP_HDP,902746683,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5577,2022-03-12,1291,MAR 2022,FC,3D  ,First Class - 3 Day,5,6,1
4387,10,CENTRAL,72,KS-MO,2,ATLANTIC,28,CONNECTICUT,CMOP LEAVENWORTH,901581567,CMOP LEAVENWORTH,901581567,901581565,901581565,GENCO,PM ,Priority Mail                                     ,5581,2022-04-09,1292,APR 2022,PM,2D  ,Priority Mail - 2 Day,5,5,0
4388,7,SOUTHERN,1497,FLORIDA 1,10,CENTRAL,31,MICHIGAN 2,OPTUMRX OV_HDP,902746689,OPTUMRX OV_HDP,902746689,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5598,2022-08-06,1296,AUG 2022,FC,3D  ,First Class - 3 Day,23,27,4
4389,5,WESTPAC,63,CALIFORNIA 6,7,SOUTHERN,1463,TENNESSEE,HDP,902205127,HDP,902205127,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5558,2021-10-30,1286,OCT 2021,PM,2D  ,Priority Mail - 2 Day,2,3,1
4390,10,CENTRAL,15,ILLINOIS 2,10,CENTRAL,17,OHIO 1,PBM - We-- Care,902372655,PBM - We-- Care,902372655,901000062,901000062,CVS / CAREMARK - WILKES BARRE,PM ,Priority Mail                                     ,5601,2022-08-27,1296,AUG 2022,PM,3D  ,Priority Mail - 3 Day,1,1,0
4391,5,WESTPAC,1081,AZ-NM,10,CENTRAL,40,KY-WV,HUMANA,931508577,HUMANA - PHX (PMOD),931508577,901097571,901097571,HUMANA PROCUREMENT,PM ,Priority Mail                                     ,5605,2022-09-24,1297,SEP 2022,PM,3D  ,Priority Mail - 3 Day,37,40,3
4392,10,CENTRAL,72,KS-MO,5,WESTPAC,1081,AZ-NM,OPTUM RX OP_HDP,902746684,OPTUM RX OP_HDP,902746684,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5557,2021-10-23,1286,OCT 2021,FC,3D  ,First Class - 3 Day,196,198,2
4393,2,ATLANTIC,57,DE-PA 2 DISTRICT,10,CENTRAL,14,ILLINOIS 1,CVS,901000063,CVS / CAREMARK - WILKES BARRE,901000063,901000062,901000062,CVS / CAREMARK - WILKES BARRE,PM ,Priority Mail                                     ,5557,2021-10-23,1286,OCT 2021,PM,2D  ,Priority Mail - 2 Day,1,1,0
4394,2,ATLANTIC,2294,NORTH CAROLINA,2,ATLANTIC,57,DE-PA 2 DISTRICT,OPTUM RX CH_HDP,902746628,OPTUM RX CH_HDP,902746628,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5597,2022-07-30,1296,AUG 2022,FC,3D  ,First Class - 3 Day,389,407,18
4395,7,SOUTHERN,1497,FLORIDA 1,2,ATLANTIC,57,DE-PA 2 DISTRICT,HDP,902575881,HDP,902575881,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5569,2022-01-15,1289,JAN 2022,FC,3D  ,First Class - 3 Day,46,49,3
4396,5,WESTPAC,63,CALIFORNIA 6,5,WESTPAC,1080,NV-UT,OPTUM RX CA_HDP,902746623,OPTUM RX CA_HDP,902746623,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5567,2022-01-01,1289,JAN 2022,PM,3D  ,Priority Mail - 3 Day,6,6,0
4397,10,CENTRAL,72,KS-MO,5,WESTPAC,1080,NV-UT,HDP,902205142,HDP,902205142,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5572,2022-02-05,1290,FEB 2022,PM,3D  ,Priority Mail - 3 Day,5,6,1
4398,5,WESTPAC,63,CALIFORNIA 6,2,ATLANTIC,74,VIRGINIA,OPTUM RX CA_HDP,902746620,OPTUM RX CA_HDP,902746620,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5567,2022-01-01,1289,JAN 2022,PM,2D  ,Priority Mail - 2 Day,6,11,5
4399,5,WESTPAC,73,WASHINGTON,10,CENTRAL,55,MN-ND,OPTUM RX WV_HDP,902746733,OPTUM RX WV_HDP,902746733,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5585,2022-05-07,1293,MAY 2022,PM,2D  ,Priority Mail - 2 Day,1,1,0
4400,7,SOUTHERN,1497,FLORIDA 1,7,SOUTHERN,1482,FLORIDA 2,HDP,902575883,HDP,902575883,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5566,2021-12-25,1288,DEC 2021,FC,2D  ,First Class - 2 Day,2564,2597,33
4401,2,ATLANTIC,2294,NORTH CAROLINA,7,SOUTHERN,1471,AL-MS,OPTUM RX CH_HDP,902746630,OPTUM RX CH_HDP,902746630,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5575,2022-02-26,1291,MAR 2022,PM,2D  ,Priority Mail - 2 Day,2,2,0
4402,10,CENTRAL,14,ILLINOIS 1,2,ATLANTIC,28,CONNECTICUT,CVS,999999194,CVS PBM MT PROSPECT,999999194,901000062,901000062,CVS / CAREMARK - WILKES BARRE,FC ,First-Class                                       ,5571,2022-01-29,1289,JAN 2022,FC,3D  ,First Class - 3 Day,1,2,1
4403,10,CENTRAL,14,ILLINOIS 1,10,CENTRAL,32,INDIANA,INGENIO,902372651,Ingenio Rx,902372651,901000062,901000062,CVS / CAREMARK - WILKES BARRE,PM ,Priority Mail                                     ,5566,2021-12-25,1288,DEC 2021,PM,3D  ,Priority Mail - 3 Day,19,19,0
